Depth mm.,230Th Age,Tuned Age,d18O VPDB
0.1,-50,-50,-7.18
0.5,-40,-41,-7.32
1,-27,-31,-7.1
1.5,-15,-20,-7.28
2,-2,-9,-7.27
2.5,4,-4,-7.52
3,10,0,-7.53
3.5,16,5,-8.07
4,21,12,-8.14
4.5,27,19,-7.76
5,33,27,-7.53
5.3,36,30,-7.52
5.5,38,34,-7.67
5.8,41,38,-7.56
6,44,41,-7.71
6.3,47,45,-7.49
6.5,49,48,-7.81
6.8,52,52,-7.61
7,55,56,-8.09
7.3,57,59,-7.65
7.5,60,63,-7.84
7.8,63,66,-7.42
7.9,64,69,-7.47
8,65,70,-7.97
8.1,66,71,-7.77
8.3,68,74,-7.61
8.5,71,77,-7.82
8.8,74,81,-7.51
9,76,84,-8
9.3,79,88,-7.49
9.5,82,92,-7.7
9.8,84,95,-7.51
10,87,99,-7.78
10.3,90,103,-7.69
10.5,92,106,-7.91
10.8,95,110,-7.72
11,98,113,-7.58
11.3,101,117,-7.54
11.5,103,121,-7.57
11.8,106,124,-7.54
12,109,128,-7.92
12.3,111,131,-7.44
12.5,114,135,-7.71
12.8,117,136,-7.57
13,119,138,-7.49
13.5,125,141,-7.66
14,130,144,-8.08
14.5,136,147,-7.59
15,141,150,-7.57
15.5,144,153,-7.75
16,146,156,-7.77
16.5,149,159,-7.84
17,151,161,-6.99
17.5,154,164,-7.64
18,156,167,-7.67
18.5,159,170,-7.53
19,162,173,-7.62
19.5,164,176,-7.63
20,167,179,-7.89
20.5,169,182,-7.57
21,172,185,-7.19
21.5,174,188,-7.37
22,177,191,-7.59
22.5,180,194,-7.47
23,182,197,-7.58
23.5,185,200,-7.57
24,187,203,-7.19
24.5,190,206,-7.07
25,192,209,-7.62
25.5,195,211,-7.65
26,198,214,-7.43
26.5,200,217,-7.68
27,203,220,-7.66
27.5,205,223,-7.41
28,208,226,-7.08
28.5,210,229,-7.2
29,213,232,-7.48
29.5,214,235,-7.16
30,215,239,-7.21
30.5,216,243,-7.19
31,217,247,-7.31
31.5,218,252,-7.52
32,219,256,-7.25
32.5,220,260,-7.44
33,221,264,-7.55
33.5,222,268,-7.59
34,223,272,-7.44
34.5,224,277,-7.17
35,225,281,-7.34
35.5,226,285,-7.49
36,227,289,-7.67
36.5,228,293,-7.32
37,229,297,-7.39
37.5,236,301,-7.18
38,243,306,-6.96
38.5,249,310,-7.38
39,256,314,-7.19
39.5,263,318,-7.35
40,270,322,-7.52
40.5,276,326,-7.44
41,283,330,-7.21
41.5,290,335,-7.6
42,297,339,-7.47
42.5,304,343,-7.21
43,310,347,-7.46
43.5,317,351,-7.4
44,324,355,-7.61
44.5,331,360,-7.26
45,337,364,-7
45.5,344,368,-6.95
46,351,372,-6.64
46.5,358,376,-7.14
47,364,380,-7.26
47.5,371,384,-7.29
48,378,389,-7.21
48.5,384,393,-7.41
49,389,397,-7.43
49.5,395,401,-7.39
50,401,405,-7.35
50.5,407,409,-7.47
51,412,413,-7.19
51.5,418,418,-7.05
52,424,422,-7.37
52.5,430,426,-7.2
53,435,430,-7.34
53.5,441,434,-7.19
54,447,438,-7.31
54.5,452,443,-6.98
55,458,447,-7.02
55.5,464,451,-7.1
56,470,455,-7.15
56.5,475,459,-7.24
57,481,463,-7.13
57.5,483,467,-6.66
58,486,471,-7.26
58.5,488,475,-7.47
59,491,479,-7.3
59.5,493,483,-7.15
60,496,487,-7.21
60.5,498,491,-7.23
61,500,495,-7.56
61.5,503,499,-7.39
62,505,503,-6.74
62.5,508,507,-7.08
63,510,511,-6.92
63.5,512,515,-7.16
64,515,519,-7.4
64.5,517,523,-7.09
65,520,527,-7.12
65.5,522,531,-6.94
66,525,535,-6.65
66.5,527,539,-7.57
67,529,543,-7.71
67.5,532,547,-7.27
68,534,551,-7.23
68.5,537,555,-7.48
69,539,559,-7.37
69.5,541,563,-7.39
70,544,567,-7.38
70.5,546,571,-7.46
71,549,575,-7.31
71.5,551,579,-7.21
72,554,583,-7.32
72.5,556,587,-7.3
73,558,591,-7.21
73.5,561,595,-7.24
74,563,599,-7.28
74.5,566,603,-7.16
75,568,607,-7.17
75.3,571,609,-7.28
75.5,574,611,-7.1
76,580,615,-7.11
76.3,583,618,-7.14
76.5,586,620,-7.2
77,592,626,-7.54
77.3,595,629,-7.43
77.5,598,631,-7.47
78,604,637,-7.5
78.3,607,639,-7.43
78.5,610,642,-7.35
79,616,648,-7.26
79.3,619,650,-7.28
79.5,622,653,-7.23
80,628,658,-7.29
80.3,631,661,-7.27
80.5,634,664,-7.15
81,640,669,-7.56
81.3,643,672,-7.61
81.5,646,675,-7.48
82,652,680,-7.24
82.3,655,683,-7.42
82.5,658,686,-7.41
83,664,691,-7.74
83.3,667,694,-7.6
83.5,670,696,-7.75
84,676,702,-7.63
84.3,679,705,-7.64
84.5,682,707,-7.55
85,688,713,-7.59
85.3,691,715,-7.61
85.5,694,718,-7.61
86,700,724,-7.36
86.3,703,726,-7.44
86.5,706,729,-7.38
87,712,734,-7.35
87.3,715,737,-7.27
87.5,718,740,-7.25
88,724,745,-7.52
88.3,727,748,-7.17
88.5,730,751,-7.4
89,736,756,-7.21
89.3,739,759,-7.29
89.5,742,762,-7.19
90,748,767,-6.99
90.3,751,770,-7.12
90.5,754,772,-7.08
91,760,778,-7.11
91.3,763,781,-7.27
91.5,766,783,-7.17
92,772,789,-7.08
92.3,776,791,-7.19
92.5,779,794,-7.24
93,787,800,-7.21
93.3,790,802,-7.28
93.5,794,805,-7.53
94,801,811,-7.41
94.3,805,818,-7.31
94.5,808,824,-7.24
95,816,830,-7.21
95.5,823,836,-7.32
96,830,843,-7.27
96.5,838,849,-7.05
97,845,855,-7.12
97.5,852,861,-7.31
98,859,868,-7.19
98.5,867,874,-7.38
99,874,880,-7.4
99.5,881,886,-7.16
100,889,893,-7.3
100.5,896,899,-7.21
101,903,905,-6.87
101.5,910,911,-7.22
102,918,917,-7.15
102.5,925,922,-7.38
103,932,928,-7.37
103.5,939,934,-7.12
104,947,940,-7.16
104.5,954,946,-7.32
105,961,951,-7.46
105.5,969,957,-7.25
106,976,963,-6.78
106.5,983,969,-7.12
107,990,974,-7.18
107.5,998,980,-7.44
108,1005,986,-7.2
108.5,1008,992,-7.22
109,1011,998,-7.34
109.5,1015,1003,-7.23
110,1018,1009,-7.39
110.5,1021,1015,-7.5
111,1024,1018,-7.01
111.5,1028,1020,-7.21
112,1031,1023,-7.33
112.5,1034,1026,-7.28
113,1037,1029,-7.26
113.5,1041,1031,-7.24
114,1044,1034,-7.26
114.5,1047,1037,-7.2
115,1050,1040,-6.98
115.5,1053,1042,-7.11
116,1057,1045,-7.11
116.5,1060,1048,-7.06
117,1063,1051,-7.29
117.5,1066,1055,-7.4
118,1070,1058,-7.43
118.5,1073,1061,-7.57
119,1076,1064,-7.55
119.5,1079,1068,-7.45
120,1083,1071,-7.28
120.5,1086,1074,-7.49
121,1089,1077,-7.46
121.5,1092,1081,-7.08
122,1096,1084,-7.45
122.5,1099,1087,-7.5
123,1102,1090,-7.22
123.5,1105,1094,-7.04
124,1108,1097,-7.15
124.5,1112,1100,-7.07
125,1115,1103,-7.31
125.5,1118,1107,-7.58
126,1121,1110,-7.33
126.5,1125,1113,-7.44
127,1128,1116,-7.6
127.5,1131,1120,-7.51
128,1134,1123,-7.17
128.5,1138,1126,-7.21
129,1141,1129,-7.05
129.5,1144,1133,-7.38
130,1147,1136,-7.18
130.5,1150,1139,-7.69
131,1154,1142,-7.33
131.5,1157,1146,-7.45
132,1160,1149,-7.31
132.5,1163,1152,-7.37
133,1167,1155,-7.44
133.5,1170,1159,-7.29
134,1173,1162,-7.27
134.5,1176,1165,-6.76
135,1180,1169,-7.17
135.5,1183,1173,-7.46
136,1186,1177,-7.55
136.3,1188,1179,-7.47
136.5,1191,1181,-7.27
136.8,1193,1183,-7.27
137,1196,1185,-7.49
137.3,1198,1187,-7.52
137.5,1201,1188,-7.54
137.8,1203,1190,-7.35
138,1206,1192,-7.21
138.3,1208,1194,-7.21
138.5,1211,1196,-7.2
138.8,1213,1198,-7.32
139,1216,1200,-7.36
139.3,1218,1202,-7.36
139.5,1221,1204,-7.35
139.8,1223,1206,-7.34
140,1225,1208,-7.48
140.3,1228,1210,-7.45
140.5,1230,1212,-7.36
140.8,1233,1214,-7.2
141,1235,1216,-7.18
141.3,1238,1218,-7.25
141.5,1240,1220,-7.26
141.8,1243,1222,-7.42
142,1245,1224,-7.45
142.5,1250,1228,-7.46
143,1255,1232,-7.43
143.5,1260,1235,-7.51
144,1265,1239,-7.02
144.5,1270,1243,-7.31
145,1275,1247,-7.39
145.5,1280,1251,-7.09
146,1285,1255,-6.98
146.5,1290,1261,-7.13
147,1294,1268,-7.08
147.5,1299,1274,-7.43
148,1304,1280,-7.56
148.5,1309,1286,-7.36
149,1314,1293,-7.26
149.5,1319,1299,-7.4
150,1324,1305,-7.33
150.5,1329,1312,-7.28
151,1334,1318,-7.29
151.5,1339,1324,-7.54
152,1344,1331,-7.39
152.5,1349,1337,-7.22
153,1354,1343,-7.45
153.5,1359,1349,-7.32
154,1363,1356,-7.12
154.5,1368,1362,-7.37
155,1373,1368,-7.34
155.5,1378,1375,-7.49
156,1383,1381,-7.42
156.5,1388,1387,-7.29
157,1393,1394,-6.88
157.5,1397,1400,-6.89
158,1402,1406,-7.12
158.5,1406,1412,-7.01
159,1411,1419,-7.02
159.5,1415,1425,-7.62
160,1420,1429,-7.47
160.5,1424,1434,-7.16
161,1428,1438,-6.95
161.5,1433,1443,-7.01
162,1437,1447,-7.38
162.5,1442,1452,-7.28
163,1446,1456,-7.1
163.5,1450,1461,-6.98
164,1455,1465,-7.29
164.5,1459,1469,-7.22
165,1464,1474,-6.84
165.5,1468,1478,-6.9
166,1473,1483,-7.19
166.5,1477,1487,-7.25
167,1481,1492,-7.12
167.5,1486,1496,-7.24
168,1490,1501,-7.01
168.5,1495,1505,-6.9
169,1499,1509,-7.02
169.5,1503,1513,-6.85
170,1508,1516,-6.93
170.5,1512,1520,-7.31
171,1517,1524,-7.15
171.5,1521,1528,-7.27
172,1526,1532,-7.41
172.5,1530,1536,-7.3
173,1534,1539,-7.06
173.5,1539,1543,-7.18
174,1543,1547,-6.85
174.5,1548,1551,-7.02
175,1552,1555,-7.02
175.5,1557,1559,-7.29
176,1561,1562,-7.27
176.5,1566,1566,-7.3
177,1570,1570,-7.28
177.5,1575,1574,-7.38
178,1579,1578,-6.98
178.5,1584,1582,-7.22
179,1588,1585,-7.39
179.5,1593,1589,-7.04
180,1598,1593,-7.18
180.5,1602,1597,-6.94
181,1607,1601,-7.35
181.5,1611,1605,-7.41
182,1616,1608,-7.45
182.5,1620,1612,-7.38
183,1625,1616,-7.26
183.5,1630,1620,-7.09
184,1634,1624,-7.26
184.5,1639,1628,-7.37
185,1643,1631,-7.36
185.5,1648,1635,-7.26
186,1652,1639,-7.33
186.5,1657,1643,-7.09
187,1661,1647,-7.28
187.5,1666,1651,-7.2
188,1671,1654,-7.16
188.5,1675,1658,-7.22
189,1680,1662,-7.5
189.5,1684,1666,-7.5
190,1689,1670,-7.22
190.5,1693,1674,-7.38
191,1698,1677,-7.32
191.5,1702,1681,-7.38
192,1707,1685,-6.96
192.5,1711,1689,-7.16
193,1715,1693,-7.25
193.5,1718,1697,-7.14
194,1722,1701,-7.27
194.5,1726,1705,-7.23
195,1730,1709,-7.29
195.5,1733,1713,-7.23
196,1737,1717,-7.2
196.5,1741,1720,-7.2
197,1745,1724,-7.31
197.5,1748,1728,-7.4
198,1752,1732,-7.55
198.5,1756,1736,-7.18
199,1760,1740,-7.34
199.5,1763,1744,-7.22
200,1767,1748,-7.54
200.5,1771,1752,-7.57
201,1775,1756,-7.57
201.5,1778,1760,-7.52
202,1782,1764,-7.4
202.5,1786,1768,-7.54
203,1790,1772,-7.42
203.5,1793,1776,-7.47
204,1797,1780,-7.48
204.5,1801,1783,-7.55
205,1805,1787,-7.62
205.5,1808,1791,-7.52
206,1812,1795,-7.43
206.5,1816,1799,-7.29
207,1820,1803,-7.45
207.5,1823,1807,-7.62
208,1827,1811,-7.56
208.5,1831,1815,-7.06
209,1835,1817,-7.28
209.5,1838,1819,-7.41
210,1842,1822,-7.41
210.5,1846,1824,-7.32
211,1850,1826,-7.38
211.5,1853,1828,-7.31
212,1857,1831,-7.33
212.5,1861,1833,-7.43
213,1865,1835,-7.27
213.5,1868,1837,-7.44
214,1872,1839,-7.42
214.5,1876,1842,-7.14
215,1880,1844,-7.41
215.5,1883,1846,-7.21
216,1887,1848,-7.32
216.5,1891,1851,-7.3
217,1895,1853,-7.2
217.5,1898,1855,-6.82
218,1902,1859,-7.28
218.5,1906,1863,-7.42
219,1910,1868,-7.49
219.5,1913,1872,-7.45
220,1917,1876,-7.41
220.5,1921,1880,-7.38
221,1925,1884,-7.34
221.5,1928,1889,-7.33
222,1932,1893,-7.4
222.5,1936,1897,-7.4
223,1940,1901,-7.32
223.5,1943,1905,-7.29
224,1947,1910,-7.48
224.5,1951,1914,-7.4
225,1955,1918,-7.52
225.5,1958,1922,-7.49
226,1962,1926,-7.25
226.5,1966,1930,-7.53
227,1970,1935,-7.41
227.5,1973,1939,-7.46
228,1977,1943,-7.64
228.5,1981,1947,-7.67
229,1985,1951,-7.66
229.5,1988,1956,-7.61
230,1992,1960,-7.46
230.5,1996,1964,-7.3
231,2000,1968,-7.33
231.5,2003,1972,-7.33
232,2007,1977,-7.32
232.5,2011,1981,-7.32
233,2015,1985,-7.16
233.5,2018,1989,-7.37
234,2022,1993,-7.56
234.5,2026,1997,-7.42
235,2030,2001,-7.44
235.5,2033,2005,-7.42
236,2037,2010,-7.52
236.5,2041,2014,-7.48
237,2045,2018,-7.44
237.5,2049,2022,-7.34
238,2052,2026,-7.43
238.5,2056,2030,-7.45
239,2060,2034,-7.48
239.5,2064,2038,-7.51
240,2067,2042,-7.47
240.5,2071,2046,-7.4
